Variant,Eigenvalues,Mass gap,Hermitian,Normalized,Discrete gap,Prototype SU(3),Batch Notes
L=4 Raw SU(3) Original,[-1.07037617 -1.01708747 -1.01003469 -1.00402223 -0.99813812 -0.9826227 ],0.05328870135063868,True,False,True,False,
L=4 Gauge-Fixed SU(3) Original,[-1.07037617 -1.01708747 -1.01003469 -1.00402223 -0.99813812 -0.9826227 ],0.05328870135063446,True,False,True,False,
L=4 Raw SU(3) Boosted,[-0.97037617 -0.91708747 -0.91003469 -0.90402223 -0.89813812 -0.8826227 ],0.05328870135063535,True,False,True,False,
L=4 Gauge-Fixed SU(3) Boosted,[-0.97037617 -0.91708747 -0.91003469 -0.90402223 -0.89813812 -0.8826227 ],0.05328870135063868,True,False,True,False,
L=8 Raw SU(3) Original,[-1.04472249 -1.0326675  -1.03143962 -1.02409817 -1.02399949 -1.02357196],0.012054986959568081,True,False,False,False,Discrete gap issue; 
L=8 Gauge-Fixed SU(3) Original,[-1.04472249 -1.0326675  -1.03143962 -1.02409817 -1.02399949 -1.02357196],0.012054986959568748,True,False,False,False,Discrete gap issue; 
L=8 Raw SU(3) Boosted,[-0.94472249 -0.9326675  -0.93143962 -0.92409817 -0.92399949 -0.92357196],0.012054986959568526,True,False,False,False,Discrete gap issue; 
L=8 Gauge-Fixed SU(3) Boosted,[-0.94472249 -0.9326675  -0.93143962 -0.92409817 -0.92399949 -0.92357196],0.012054986959568637,True,False,False,False,Discrete gap issue; 
L=16 Raw SU(3) Original,[-1.0873042  -1.08270602 -1.08148518 -1.07688872 -1.07472881 -1.06968633],0.00459818083508412,True,False,True,False,
L=16 Gauge-Fixed SU(3) Original,[-1.0873042  -1.08270602 -1.08148518 -1.07688872 -1.07472881 -1.06968633],0.004598180835085897,True,False,True,False,
L=16 Raw SU(3) Boosted,[-0.9873042  -0.98270602 -0.98148518 -0.97688872 -0.97472881 -0.96968633],0.00459818083508412,True,False,True,False,
L=16 Gauge-Fixed SU(3) Boosted,[-0.9873042  -0.98270602 -0.98148518 -0.97688872 -0.97472881 -0.96968633],0.004598180835083898,True,False,True,False,
