Variant,Eigenvalues,Mass gap,Hermitian,Normalized,Discrete gap,Prototype SU(3),Batch Notes
L=4 Raw SU(3) Original,"[-1.00033098 -0.99460554 -0.98727941 -0.9727113  -0.95627167 -0.95550728
 -0.95504044 -0.95109175 -0.94843843 -0.92240167 -0.91708799 -0.91216856
 -0.90757876 -0.89978789 -0.89279079 -0.88686449 -0.88485832 -0.88253376
 -0.87826677 -0.87390253]",0.005725441844774415,True,False,True,True,
L=4 Gauge-Fixed SU(3) Original,"[-1.00033098 -0.99460554 -0.98727941 -0.9727113  -0.95627167 -0.95550728
 -0.95504044 -0.95109175 -0.94843843 -0.92240167 -0.91708799 -0.91216856
 -0.90757876 -0.89978789 -0.89279079 -0.88686449 -0.88485832 -0.88253376
 -0.87826677 -0.87390253]",0.005725441844775525,True,False,True,True,
L=4 Raw SU(3) Boosted,"[-0.90033098 -0.89460554 -0.88727941 -0.8727113  -0.85627167 -0.85550728
 -0.85504044 -0.85109175 -0.84843843 -0.82240167 -0.81708799 -0.81216856
 -0.80757876 -0.79978789 -0.79279079 -0.78686449 -0.78485832 -0.78253376
 -0.77826677 -0.77390253]",0.005725441844780854,True,False,True,True,
L=4 Gauge-Fixed SU(3) Boosted,"[-0.90033098 -0.89460554 -0.88727941 -0.8727113  -0.85627167 -0.85550728
 -0.85504044 -0.85109175 -0.84843843 -0.82240167 -0.81708799 -0.81216856
 -0.80757876 -0.79978789 -0.79279079 -0.78686449 -0.78485832 -0.78253376
 -0.77826677 -0.77390253]",0.005725441844776302,True,False,True,True,
L=8 Raw SU(3) Original,"[-1.01583154 -1.00470538 -1.00305696 -1.00132665 -1.00089667 -1.00060645
 -1.00006184 -0.99987678 -0.99906387 -0.99842558 -0.99799631 -0.99720035]",0.011126156791922304,True,False,True,True,
L=8 Gauge-Fixed SU(3) Original,"[-1.01583154 -1.00470538 -1.00305696 -1.00132665 -1.00089667 -1.00060645
 -1.00006184 -0.99987678 -0.99906387 -0.99842558 -0.99799631 -0.99720035]",0.011126156791923636,True,False,True,True,
L=8 Raw SU(3) Boosted,"[-0.91583154 -0.90470538 -0.90305696 -0.90132665 -0.90089667 -0.90060645
 -0.90006184 -0.89987678 -0.89906387 -0.89842558 -0.89799631 -0.89720035]",0.011126156791923192,True,False,True,True,
L=8 Gauge-Fixed SU(3) Boosted,"[-0.91583154 -0.90470538 -0.90305696 -0.90132665 -0.90089667 -0.90060645
 -0.90006184 -0.89987678 -0.89906387 -0.89842558 -0.89799631 -0.89720035]",0.011126156791922526,True,False,True,True,
L=16 Raw SU(3) Original,"[-1.03893273 -1.03622465 -1.03456469 -1.03403742 -1.03067791 -1.02785504
 -1.02704362 -1.02469475 -1.02425    -1.02343667 -1.02284039 -1.02024082]",0.0027080723325101363,True,False,True,True,
L=16 Gauge-Fixed SU(3) Original,"[-1.03893273 -1.03622465 -1.03456469 -1.03403742 -1.03067791 -1.02785504
 -1.02704362 -1.02469475 -1.02425    -1.02343667 -1.02284039 -1.02024082]",0.0027080723325103584,True,False,True,True,
L=16 Raw SU(3) Boosted,"[-0.93893273 -0.93622465 -0.93456469 -0.93403742 -0.93067791 -0.92785504
 -0.92704362 -0.92469475 -0.92425    -0.92343667 -0.92284039 -0.92024082]",0.0027080723325096923,True,False,True,True,
L=16 Gauge-Fixed SU(3) Boosted,"[-0.93893273 -0.93622465 -0.93456469 -0.93403742 -0.93067791 -0.92785504
 -0.92704362 -0.92469475 -0.92425    -0.92343667 -0.92284039 -0.92024082]",0.0027080723325099143,True,False,True,True,
